"gene_name","ensembl_id","exons.group","exons.group_name","exons.seqnames","exons.start","exons.end","exons.width","exons.strand","exons.exon_id","exons.gene_name","exons.exon_rank"
"Bmpr1a",0,2,"ENSMUST00000165280","14",34415707,34415882,176,"-","ENSMUSE00000561694","Bmpr1a",10
"Bmpr1a",0,2,"ENSMUST00000165280","14",34414486,34414890,405,"-","ENSMUSE00000915751","Bmpr1a",11
"Bmpr1a",0,3,"ENSMUST00000171343","14",34503174,34503341,168,"-","ENSMUSE00000906501","Bmpr1a",1
"Bmpr1a",0,3,"ENSMUST00000171343","14",34460499,34460612,114,"-","ENSMUSE00000510636","Bmpr1a",2
"Bmpr1a",0,3,"ENSMUST00000171343","14",34447772,34447978,207,"-","ENSMUSE00000453349","Bmpr1a",3
"Bmpr1a",0,3,"ENSMUST00000171343","14",34443819,34443981,163,"-","ENSMUSE00000120941","Bmpr1a",4
"Bmpr1a",0,3,"ENSMUST00000171343","14",34441099,34441201,103,"-","ENSMUSE00000120937","Bmpr1a",5
"Bmpr1a",0,3,"ENSMUST00000171343","14",34434638,34434734,97,"-","ENSMUSE00000221789","Bmpr1a",6
"Bmpr1a",0,3,"ENSMUST00000171343","14",34434462,34434478,17,"-","ENSMUSE00000980390","Bmpr1a",7
"Bmpr1a",0,4,"ENSMUST00000171551","14",34502395,34502528,134,"-","ENSMUSE00000502653","Bmpr1a",1
"Bmpr1a",0,4,"ENSMUST00000171551","14",34486205,34486341,137,"-","ENSMUSE00000877537","Bmpr1a",2
"Bmpr1a",0,4,"ENSMUST00000171551","14",34460499,34460612,114,"-","ENSMUSE00000510636","Bmpr1a",3
"Bmpr1a",0,4,"ENSMUST00000171551","14",34447772,34447978,207,"-","ENSMUSE00000453349","Bmpr1a",4
"Bmpr1a",0,4,"ENSMUST00000171551","14",34443933,34443981,49,"-","ENSMUSE00000873508","Bmpr1a",5
"Ctnna1",0,1,"ENSMUST00000042345","18",35118888,35118981,94,"+","ENSMUSE00000432816","Ctnna1",1
"Ctnna1",0,1,"ENSMUST00000042345","18",35152601,35152707,107,"+","ENSMUSE00000283481","Ctnna1",2
"Ctnna1",0,1,"ENSMUST00000042345","18",35154345,35154540,196,"+","ENSMUSE00000283464","Ctnna1",3
"Ctnna1",0,1,"ENSMUST00000042345","18",35174253,35174419,167,"+","ENSMUSE00000283442","Ctnna1",4
"Ctnna1",0,1,"ENSMUST00000042345","18",35175097,35175216,120,"+","ENSMUSE00000283406","Ctnna1",5
"Ctnna1",0,1,"ENSMUST00000042345","18",35179685,35179954,270,"+","ENSMUSE00000283371","Ctnna1",6
"Ctnna1",0,1,"ENSMUST00000042345","18",35182350,35182553,204,"+","ENSMUSE00000283346","Ctnna1",7
"Ctnna1",0,1,"ENSMUST00000042345","18",35222065,35222145,81,"+","ENSMUSE00000283322","Ctnna1",8
"Ctnna1",0,1,"ENSMUST00000042345","18",35223423,35223575,153,"+","ENSMUSE00000283292","Ctnna1",9
"Ctnna1",0,1,"ENSMUST00000042345","18",35235608,35235700,93,"+","ENSMUSE00000283250","Ctnna1",10
"Ctnna1",0,1,"ENSMUST00000042345","18",35239383,35239539,157,"+","ENSMUSE00000283219","Ctnna1",11
"Ctnna1",0,1,"ENSMUST00000042345","18",35243955,35244155,201,"+","ENSMUSE00000283181","Ctnna1",12
"Ctnna1",0,1,"ENSMUST00000042345","18",35244697,35244848,152,"+","ENSMUSE00000283163","Ctnna1",13
"Ctnna1",0,1,"ENSMUST00000042345","18",35249702,35249812,111,"+","ENSMUSE00000283143","Ctnna1",14
"Ctnna1",0,1,"ENSMUST00000042345","18",35250846,35251027,182,"+","ENSMUSE00000283127","Ctnna1",15
"Ctnna1",0,1,"ENSMUST00000042345","18",35251166,35251271,106,"+","ENSMUSE00000283107","Ctnna1",16
"Ctnna1",0,1,"ENSMUST00000042345","18",35252616,35252750,135,"+","ENSMUSE00000283090","Ctnna1",17
"Ctnna1",0,1,"ENSMUST00000042345","18",35253605,35254773,1169,"+","ENSMUSE00000363937","Ctnna1",18
"Ctnnb1",0,1,"ENSMUST00000007130","9",120933400,120933638,239,"+","ENSMUSE00000825852","Ctnnb1",1
"Ctnnb1",0,1,"ENSMUST00000007130","9",120950173,120950233,61,"+","ENSMUSE00001309637","Ctnnb1",2
"Ctnnb1",0,1,"ENSMUST00000007130","9",120950522,120950749,228,"+","ENSMUSE00001256074","Ctnnb1",3
"Ctnnb1",0,1,"ENSMUST00000007130","9",120950894,120951147,254,"+","ENSMUSE00001257880","Ctnnb1",4
"Ctnnb1",0,1,"ENSMUST00000007130","9",120951267,120951505,239,"+","ENSMUSE00001312873","Ctnnb1",5
"Ctnnb1",0,1,"ENSMUST00000007130","9",120951586,120951787,202,"+","ENSMUSE00001244990","Ctnnb1",6
"Ctnnb1",0,1,"ENSMUST00000007130","9",120952859,120953003,145,"+","ENSMUSE00001305969","Ctnnb1",7
"Ctnnb1",0,1,"ENSMUST00000007130","9",120955148,120955251,104,"+","ENSMUSE00001214229","Ctnnb1",8
"Ctnnb1",0,1,"ENSMUST00000007130","9",120955329,120955667,339,"+","ENSMUSE00001289222","Ctnnb1",9
"Ctnnb1",0,1,"ENSMUST00000007130","9",120955814,120955972,159,"+","ENSMUSE00001300160","Ctnnb1",10
"Ctnnb1",0,1,"ENSMUST00000007130","9",120957107,120957226,120,"+","ENSMUSE00001312721","Ctnnb1",11
"Ctnnb1",0,1,"ENSMUST00000007130","9",120957517,120957667,151,"+","ENSMUSE00001277189","Ctnnb1",12
"Ctnnb1",0,1,"ENSMUST00000007130","9",120957759,120957880,122,"+","ENSMUSE00001237042","Ctnnb1",13
"Ctnnb1",0,1,"ENSMUST00000007130","9",120958592,120958652,61,"+","ENSMUSE00001285199","Ctnnb1",14
"Ctnnb1",0,1,"ENSMUST00000007130","9",120959309,120960507,1199,"+","ENSMUSE00000786527","Ctnnb1",15
"Ctnnb1",0,2,"ENSMUST00000126633","9",120955125,120955251,127,"+","ENSMUSE00000794877","Ctnnb1",1
"Ctnnb1",0,2,"ENSMUST00000126633","9",120955329,120955667,339,"+","ENSMUSE00001247794","Ctnnb1",2
"Ctnnb1",0,2,"ENSMUST00000126633","9",120955814,120955841,28,"+","ENSMUSE00000790571","Ctnnb1",3
"Ctnnb1",0,3,"ENSMUST00000130466","9",120929216,120929323,108,"+","ENSMUSE00000790379","Ctnnb1",1
"Ctnnb1",0,3,"ENSMUST00000130466","9",120930063,120930143,81,"+","ENSMUSE00000800032","Ctnnb1",2
"Ctnnb1",0,3,"ENSMUST00000130466","9",120950173,120950233,61,"+","ENSMUSE00001309637","Ctnnb1",3
"Ctnnb1",0,3,"ENSMUST00000130466","9",120950522,120950635,114,"+","ENSMUSE00000788018","Ctnnb1",4
"Ctnnb1",0,4,"ENSMUST00000130845","9",120933623,120933638,16,"+","ENSMUSE00000987994","Ctnnb1",1
"Ctnnb1",0,4,"ENSMUST00000130845","9",120950173,120950233,61,"+","ENSMUSE00001309637","Ctnnb1",2
"Ctnnb1",0,4,"ENSMUST00000130845","9",120950522,120950749,228,"+","ENSMUSE00001256074","Ctnnb1",3
"Ctnnb1",0,4,"ENSMUST00000130845","9",120951022,120951147,126,"+","ENSMUSE00000915692","Ctnnb1",4
"Ctnnb1",0,4,"ENSMUST00000130845","9",120951267,120951505,239,"+","ENSMUSE00001251715","Ctnnb1",5
"Ctnnb1",0,4,"ENSMUST00000130845","9",120951586,120951710,125,"+","ENSMUSE00000875101","Ctnnb1",6
"Ctnnb1",0,5,"ENSMUST00000133689","9",120955914,120955972,59,"+","ENSMUSE00000733942","Ctnnb1",1
"Ctnnb1",0,5,"ENSMUST00000133689","9",120957107,120957226,120,"+","ENSMUSE00001312721","Ctnnb1",2
"Ctnnb1",0,5,"ENSMUST00000133689","9",120957517,120957667,151,"+","ENSMUSE00001277189","Ctnnb1",3
"Ctnnb1",0,5,"ENSMUST00000133689","9",120957759,120957880,122,"+","ENSMUSE00001237042","Ctnnb1",4
"Ctnnb1",0,5,"ENSMUST00000133689","9",120958592,120959025,434,"+","ENSMUSE00000779432","Ctnnb1",5
"Ctnnb1",0,6,"ENSMUST00000139138","9",120956867,120957226,360,"+","ENSMUSE00000730713","Ctnnb1",1
"Ctnnb1",0,6,"ENSMUST00000139138","9",120957517,120957667,151,"+","ENSMUSE00001264969","Ctnnb1",2
"Ctnnb1",0,6,"ENSMUST00000139138","9",120957759,120957824,66,"+","ENSMUSE00000823635","Ctnnb1",3
"Ctnnb1",0,7,"ENSMUST00000145093","9",120933818,120933961,144,"+","ENSMUSE00000723843","Ctnnb1",1
"Ctnnb1",0,7,"ENSMUST00000145093","9",120950173,120950233,61,"+","ENSMUSE00001309637","Ctnnb1",2
"Ctnnb1",0,7,"ENSMUST00000145093","9",120950522,120950749,228,"+","ENSMUSE00001256074","Ctnnb1",3
"Ctnnb1",0,7,"ENSMUST00000145093","9",120950894,120951147,254,"+","ENSMUSE00001257880","Ctnnb1",4
"Ctnnb1",0,7,"ENSMUST00000145093","9",120951267,120951293,27,"+","ENSMUSE00000731396","Ctnnb1",5
"Ctnnb1",0,8,"ENSMUST00000154356","9",120933475,120933638,164,"+","ENSMUSE00000829991","Ctnnb1",1
"Ctnnb1",0,8,"ENSMUST00000154356","9",120950173,120950233,61,"+","ENSMUSE00001309637","Ctnnb1",2
"Ctnnb1",0,8,"ENSMUST00000154356","9",120950522,120950749,228,"+","ENSMUSE00001256074","Ctnnb1",3
"Ctnnb1",0,8,"ENSMUST00000154356","9",120950894,120951147,254,"+","ENSMUSE00001257880","Ctnnb1",4
"Ctnnb1",0,8,"ENSMUST00000154356","9",120951267,120951505,239,"+","ENSMUSE00001312873","Ctnnb1",5
"Ctnnb1",0,8,"ENSMUST00000154356","9",120951586,120951787,202,"+","ENSMUSE00001244990","Ctnnb1",6
"Ctnnb1",0,8,"ENSMUST00000154356","9",120952859,120953003,145,"+","ENSMUSE00001305969","Ctnnb1",7
"Ctnnb1",0,8,"ENSMUST00000154356","9",120955148,120955251,104,"+","ENSMUSE00001214229","Ctnnb1",8
"Ctnnb1",0,8,"ENSMUST00000154356","9",120955329,120955667,339,"+","ENSMUSE00001289222","Ctnnb1",9
"Ctnnb1",0,8,"ENSMUST00000154356","9",120955814,120955976,163,"+","ENSMUSE00000765161","Ctnnb1",10
"Ctnnb1",0,8,"ENSMUST00000154356","9",120957110,120957226,117,"+","ENSMUSE00000818096","Ctnnb1",11
"Ctnnb1",0,8,"ENSMUST00000154356","9",120957517,120957667,151,"+","ENSMUSE00001261595","Ctnnb1",12
"Ctnnb1",0,8,"ENSMUST00000154356","9",120957759,120957880,122,"+","ENSMUSE00001233012","Ctnnb1",13
"Ctnnb1",0,8,"ENSMUST00000154356","9",120958592,120958652,61,"+","ENSMUSE00001285651","Ctnnb1",14
"Ctnnb1",0,8,"ENSMUST00000154356","9",120959309,120960506,1198,"+","ENSMUSE00001230290","Ctnnb1",15
"Ctnnb1",0,9,"ENSMUST00000154687","9",120933486,120933638,153,"+","ENSMUSE00000349804","Ctnnb1",1
"Ctnnb1",0,9,"ENSMUST00000154687","9",120950173,120950233,61,"+","ENSMUSE00001256850","Ctnnb1",2
"Ctnnb1",0,9,"ENSMUST00000154687","9",120950522,120950749,228,"+","ENSMUSE00001288647","Ctnnb1",3
"Ctnnb1",0,9,"ENSMUST00000154687","9",120950894,120951147,254,"+","ENSMUSE00001212820","Ctnnb1",4
"Ctnnb1",0,9,"ENSMUST00000154687","9",120951267,120951505,239,"+","ENSMUSE00001251715","Ctnnb1",5
"Ctnnb1",0,9,"ENSMUST00000154687","9",120951586,120951787,202,"+","ENSMUSE00001274592","Ctnnb1",6
"Ctnnb1",0,9,"ENSMUST00000154687","9",120952859,120953003,145,"+","ENSMUSE00001230854","Ctnnb1",7
"Ctnnb1",0,9,"ENSMUST00000154687","9",120955148,120955251,104,"+","ENSMUSE00001221892","Ctnnb1",8
"Ctnnb1",0,9,"ENSMUST00000154687","9",120955329,120955667,339,"+","ENSMUSE00001247794","Ctnnb1",9
"Ctnnb1",0,9,"ENSMUST00000154687","9",120955814,120956447,634,"+","ENSMUSE00000765859","Ctnnb1",10
"Ctnnb1",0,10,"ENSMUST00000156911","9",120955297,120955667,371,"+","ENSMUSE00000762074","Ctnnb1",1
"Ctnnb1",0,10,"ENSMUST00000156911","9",120955814,120955972,159,"+","ENSMUSE00001240000","Ctnnb1",2
"Ctnnb1",0,10,"ENSMUST00000156911","9",120957107,120957226,120,"+","ENSMUSE00001308689","Ctnnb1",3
"Ctnnb1",0,10,"ENSMUST00000156911","9",120957517,120957639,123,"+","ENSMUSE00000729899","Ctnnb1",4
"Ctnnb1",0,11,"ENSMUST00000163844","9",120950221,120950233,13,"+","ENSMUSE00001018759","Ctnnb1",1
"Ctnnb1",0,11,"ENSMUST00000163844","9",120950522,120950723,202,"+","ENSMUSE00000915913","Ctnnb1",2
"Ctnnb1",0,11,"ENSMUST00000163844","9",120950992,120951147,156,"+","ENSMUSE00000896614","Ctnnb1",3
"Ctnnb1",0,11,"ENSMUST00000163844","9",120951267,120951505,239,"+","ENSMUSE00001251715","Ctnnb1",4
"Ctnnb1",0,11,"ENSMUST00000163844","9",120951586,120951787,202,"+","ENSMUSE00001274592","Ctnnb1",5
"Ctnnb1",0,11,"ENSMUST00000163844","9",120952859,120953003,145,"+","ENSMUSE00001230854","Ctnnb1",6
"Ctnnb1",0,11,"ENSMUST00000163844","9",120955148,120955251,104,"+","ENSMUSE00001221892","Ctnnb1",7
"Ctnnb1",0,11,"ENSMUST00000163844","9",120955329,120955667,339,"+","ENSMUSE00001247794","Ctnnb1",8
"Ctnnb1",0,11,"ENSMUST00000163844","9",120955814,120955972,159,"+","ENSMUSE00001240000","Ctnnb1",9
"Ctnnb1",0,11,"ENSMUST00000163844","9",120957107,120957226,120,"+","ENSMUSE00001308689","Ctnnb1",10
"Ctnnb1",0,11,"ENSMUST00000163844","9",120957517,120957667,151,"+","ENSMUSE00001264969","Ctnnb1",11
"Ctnnb1",0,11,"ENSMUST00000163844","9",120957759,120957880,122,"+","ENSMUSE00001233012","Ctnnb1",12
"Ctnnb1",0,11,"ENSMUST00000163844","9",120958592,120958652,61,"+","ENSMUSE00001285651","Ctnnb1",13
"Ctnnb1",0,11,"ENSMUST00000163844","9",120959309,120959517,209,"+","ENSMUSE00000888054","Ctnnb1",14
"Ctnnb1",0,12,"ENSMUST00000169931","9",120955457,120955667,211,"+","ENSMUSE00000915725","Ctnnb1",1
"Ctnnb1",0,12,"ENSMUST00000169931","9",120955814,120955969,156,"+","ENSMUSE00000910137","Ctnnb1",2
"Ctnnb1",0,12,"ENSMUST00000169931","9",120957107,120957226,120,"+","ENSMUSE00001312721","Ctnnb1",3
"Ctnnb1",0,12,"ENSMUST00000169931","9",120957517,120957534,18,"+","ENSMUSE00001034866","Ctnnb1",4
"Ctnnb1",0,13,"ENSMUST00000170729","9",120951089,120951147,59,"+","ENSMUSE00000900996","Ctnnb1",1
"Ctnnb1",0,13,"ENSMUST00000170729","9",120951267,120951469,203,"+","ENSMUSE00000787936","Ctnnb1",2
"Ctnnb1",0,13,"ENSMUST00000170729","9",120951678,120951787,110,"+","ENSMUSE00000903017","Ctnnb1",3
"Ctnnb1",0,13,"ENSMUST00000170729","9",120952859,120953003,145,"+","ENSMUSE00001215473","Ctnnb1",4
"Ctnnb1",0,13,"ENSMUST00000170729","9",120955148,120955251,104,"+","ENSMUSE00001221892","Ctnnb1",5
"Ctnnb1",0,13,"ENSMUST00000170729","9",120955329,120955399,71,"+","ENSMUSE00000881698","Ctnnb1",6
"Ctnnb1",0,14,"ENSMUST00000178812","9",120933578,120933616,39,"+","ENSMUSE00001010365","Ctnnb1",1
"Ctnnb1",0,14,"ENSMUST00000178812","9",120950173,120950233,61,"+","ENSMUSE00001309637","Ctnnb1",2
"Ctnnb1",0,14,"ENSMUST00000178812","9",120950522,120950749,228,"+","ENSMUSE00001256074","Ctnnb1",3
"Ctnnb1",0,14,"ENSMUST00000178812","9",120950894,120951147,254,"+","ENSMUSE00001257880","Ctnnb1",4
"Ctnnb1",0,14,"ENSMUST00000178812","9",120951267,120951505,239,"+","ENSMUSE00001312873","Ctnnb1",5
"Ctnnb1",0,14,"ENSMUST00000178812","9",120951586,120951787,202,"+","ENSMUSE00001244990","Ctnnb1",6
"Ctnnb1",0,14,"ENSMUST00000178812","9",120952859,120953003,145,"+","ENSMUSE00001305969","Ctnnb1",7
"Ctnnb1",0,14,"ENSMUST00000178812","9",120955148,120955251,104,"+","ENSMUSE00001214229","Ctnnb1",8
"Ctnnb1",0,14,"ENSMUST00000178812","9",120955329,120955667,339,"+","ENSMUSE00001289222","Ctnnb1",9
"Ctnnb1",0,14,"ENSMUST00000178812","9",120955814,120955972,159,"+","ENSMUSE00001300160","Ctnnb1",10
"Ctnnb1",0,14,"ENSMUST00000178812","9",120957107,120957226,120,"+","ENSMUSE00001312721","Ctnnb1",11
"Ctnnb1",0,14,"ENSMUST00000178812","9",120957517,120957667,151,"+","ENSMUSE00001277189","Ctnnb1",12
"Ctnnb1",0,14,"ENSMUST00000178812","9",120957759,120957880,122,"+","ENSMUSE00001237042","Ctnnb1",13
"Ctnnb1",0,14,"ENSMUST00000178812","9",120958592,120958652,61,"+","ENSMUSE00001285199","Ctnnb1",14
"Ctnnb1",0,14,"ENSMUST00000178812","9",120959309,120960506,1198,"+","ENSMUSE00001219573","Ctnnb1",15
"Dicer1",0,1,"ENSMUST00000041987","12",104751748,104751952,205,"-","ENSMUSE00000440881","Dicer1",1
"Dicer1",0,1,"ENSMUST00000041987","12",104731800,104731987,188,"-","ENSMUSE00000383123","Dicer1",2
"Dicer1",0,1,"ENSMUST00000041987","12",104731020,104731182,163,"-","ENSMUSE00000345467","Dicer1",3
"Dicer1",0,1,"ENSMUST00000041987","12",104730133,104730263,131,"-","ENSMUSE00000255749","Dicer1",4
"Dicer1",0,1,"ENSMUST00000041987","12",104729128,104729262,135,"-","ENSMUSE00000255742","Dicer1",5
"Dicer1",0,1,"ENSMUST00000041987","12",104728333,104728493,161,"-","ENSMUSE00001088806","Dicer1",6
"Dicer1",0,1,"ENSMUST00000041987","12",104723902,104724070,169,"-","ENSMUSE00001050161","Dicer1",7
"Dicer1",0,1,"ENSMUST00000041987","12",104721971,104722443,473,"-","ENSMUSE00000402515","Dicer1",8
"Dicer1",0,1,"ENSMUST00000041987","12",104714774,104714906,133,"-","ENSMUSE00000255708","Dicer1",9
"Dicer1",0,1,"ENSMUST00000041987","12",104712995,104713237,243,"-","ENSMUSE00000255701","Dicer1",10
"Dicer1",0,1,"ENSMUST00000041987","12",104712181,104712335,155,"-","ENSMUSE00000255696","Dicer1",11
"Dicer1",0,1,"ENSMUST00000041987","12",104710625,104710757,133,"-","ENSMUSE00000338340","Dicer1",12
"Dicer1",0,1,"ENSMUST00000041987","12",104709785,104709860,76,"-","ENSMUSE00000255682","Dicer1",13
"Dicer1",0,1,"ENSMUST00000041987","12",104708776,104708915,140,"-","ENSMUSE00000255676","Dicer1",14
"Dicer1",0,1,"ENSMUST00000041987","12",104706853,104707032,180,"-","ENSMUSE00000255665","Dicer1",15
"Dicer1",0,1,"ENSMUST00000041987","12",104706551,104706764,214,"-","ENSMUSE00000255658","Dicer1",16
"Dicer1",0,1,"ENSMUST00000041987","12",104706213,104706366,154,"-","ENSMUSE00000255651","Dicer1",17
"Dicer1",0,1,"ENSMUST00000041987","12",104705053,104705235,183,"-","ENSMUSE00000255645","Dicer1",18
"Dicer1",0,1,"ENSMUST00000041987","12",104704719,104704824,106,"-","ENSMUSE00000405399","Dicer1",19
"Dicer1",0,1,"ENSMUST00000041987","12",104704066,104704241,176,"-","ENSMUSE00000366949","Dicer1",20
"Dicer1",0,1,"ENSMUST00000041987","12",104702402,104703182,781,"-","ENSMUSE00000413161","Dicer1",21
"Dicer1",0,1,"ENSMUST00000041987","12",104700365,104700520,156,"-","ENSMUSE00000255789","Dicer1",22
"Dicer1",0,1,"ENSMUST00000041987","12",104696274,104697144,871,"-","ENSMUSE00000255783","Dicer1",23
"Dicer1",0,1,"ENSMUST00000041987","12",104694478,104694746,269,"-","ENSMUSE00000255779","Dicer1",24
"Dicer1",0,1,"ENSMUST00000041987","12",104692303,104692465,163,"-","ENSMUSE00000255773","Dicer1",25
"Dicer1",0,1,"ENSMUST00000041987","12",104692127,104692202,76,"-","ENSMUSE00000255768","Dicer1",26
"Dicer1",0,1,"ENSMUST00000041987","12",104687742,104691758,4017,"-","ENSMUSE00000395197","Dicer1",27
"Fgfr2",0,1,"ENSMUST00000117073","7",130261749,130261857,109,"-","ENSMUSE00000716564","Fgfr2",1
"Fgfr2",0,1,"ENSMUST00000117073","7",130228623,130228792,170,"-","ENSMUSE00000462396","Fgfr2",2
"Fgfr2",0,1,"ENSMUST00000117073","7",130218998,130219121,124,"-","ENSMUSE00001266239","Fgfr2",3
"Fgfr2",0,1,"ENSMUST00000117073","7",130200983,130201173,191,"-","ENSMUSE00001249471","Fgfr2",4
"Fgfr2",0,1,"ENSMUST00000117073","7",130198419,130198563,145,"-","ENSMUSE00000484156","Fgfr2",5
"Fgfr2",0,1,"ENSMUST00000117073","7",130196178,130196374,197,"-","ENSMUSE00000709836","Fgfr2",6
"Fgfr2",0,1,"ENSMUST00000117073","7",130185229,130185380,152,"-","ENSMUSE00001205116","Fgfr2",7
"Fgfr2",0,1,"ENSMUST00000117073","7",130182641,130182762,122,"-","ENSMUSE00001212325","Fgfr2",8
"Fgfr2",0,1,"ENSMUST00000117073","7",130180365,130180475,111,"-","ENSMUSE00001230110","Fgfr2",9
"Fgfr2",0,1,"ENSMUST00000117073","7",130177675,130177865,191,"-","ENSMUSE00001266623","Fgfr2",10
