"","ensembl_gene_id","rnorvegicus_homolog_ensembl_gene"
"937","ENSMUSG00000060301","ENSRNOG00000022871"
"950","ENSMUSG00000009114","ENSRNOG00000012714"
"992","ENSMUSG00000049916","ENSRNOG00000026918"
"993","ENSMUSG00000010277","ENSRNOG00000011887"
"996","ENSMUSG00000096001","ENSRNOG00000043342"
"997","ENSMUSG00000028536","ENSRNOG00000020259"
"1003","ENSMUSG00000034601","ENSRNOG00000008244"
"1005","ENSMUSG00000024273","ENSRNOG00000015546"
"1010","ENSMUSG00000053080","ENSRNOG00000032042"
"1012","ENSMUSG00000062198","ENSRNOG00000006986"
"1016","ENSMUSG00000031984","ENSRNOG00000019169"
"1017","ENSMUSG00000047635","ENSRNOG00000001073"
"1019","ENSMUSG00000020491","ENSRNOG00000023431"
"1035","ENSMUSG00000018570","ENSRNOG00000015975"
"1051","ENSMUSG00000026227","ENSRNOG00000017557"
"1059","ENSMUSG00000051339","ENSRNOG00000052424"
"1082","ENSMUSG00000030385","ENSRNOG00000019280"
"1094","ENSMUSG00000026388","ENSRNOG00000045570"
"1103","ENSMUSG00000025102","ENSRNOG00000052273"
"1113","ENSMUSG00000053553","ENSRNOG00000001289"
"1114","ENSMUSG00000086815","ENSRNOG00000046262"
"1129","ENSMUSG00000071540","ENSRNOG00000049942"
"1135","ENSMUSG00000031179","ENSRNOG00000023016"
"1139","ENSMUSG00000064202","ENSRNOG00000015137"
"1182","ENSMUSG00000062822","ENSRNOG00000017581"
"1188","ENSMUSG00000032057","ENSRNOG00000043383"
"1191","ENSMUSG00000025871","ENSRNOG00000017133"
"1195","ENSMUSG00000026734","ENSRNOG00000021898"
"1197","ENSMUSG00000029828","ENSRNOG00000010594"
"1205","ENSMUSG00000049815","ENSRNOG00000042823"
"1216","ENSMUSG00000049902","ENSRNOG00000042206"
"1223","ENSMUSG00000036934","ENSRNOG00000017090"
"1235","ENSMUSG00000020434","ENSRNOG00000004112"
"1236","ENSMUSG00000028520","ENSRNOG00000022890"
"1246","ENSMUSG00000079421","ENSRNOG00000039210"
"1249","ENSMUSG00000027309","ENSRNOG00000021237"
"1261","ENSMUSG00000020234","ENSRNOG00000039861"
"1275","ENSMUSG00000075524","ENSRNOG00000030150"
"1296","ENSMUSG00000022993","ENSRNOG00000057264"
"1337","ENSMUSG00000046567","ENSRNOG00000006973"
"1350","ENSMUSG00000008129","ENSRNOG00000025796"
"1356","ENSMUSG00000091692","ENSRNOG00000027112"
"1368","ENSMUSG00000069873","ENSRNOG00000043116"
"1394","ENSMUSG00000067795","ENSRNOG00000047310"
"1401","ENSMUSG00000021098","ENSRNOG00000031655"
"1426","ENSMUSG00000045989","ENSRNOG00000036713"
"1428","ENSMUSG00000021747","ENSRNOG00000007206"
"1435","ENSMUSG00000059920","ENSRNOG00000000720"
"1513","ENSMUSG00000035651","ENSRNOG00000038396"
"1531","ENSMUSG00000050345","ENSRNOG00000018028"
"1547","ENSMUSG00000090202","ENSRNOG00000016432"
"1573","ENSMUSG00000044906","ENSRNOG00000028677"
"1577","ENSMUSG00000040919","ENSRNOG00000006356"
"1608","ENSMUSG00000031270","ENSRNOG00000026152"
"1615","ENSMUSG00000090219","ENSRNOG00000048582"
"1635","ENSMUSG00000029564","ENSRNOG00000021364"
"1646","ENSMUSG00000060491","ENSRNOG00000009138"
"1663","ENSMUSG00000020299","ENSRNOG00000027852"
"1732","ENSMUSG00000087279","ENSRNOG00000042847"
"1734","ENSMUSG00000036463","ENSRNOG00000042954"
"1749","ENSMUSG00000029138","ENSRNOG00000055899"
"1755","ENSMUSG00000005131","ENSRNOG00000007266"
"1757","ENSMUSG00000046180","ENSRNOG00000003532"
"1825","ENSMUSG00000086277","ENSRNOG00000026523"
"1830","ENSMUSG00000022518","ENSRNOG00000042579"
"1835","ENSMUSG00000053574","ENSRNOG00000014865"
"1861","ENSMUSG00000026882","ENSRNOG00000042373"
"1921","ENSMUSG00000021961","ENSRNOG00000012402"
"1929","ENSMUSG00000012042","ENSRNOG00000024623"
"1931","ENSMUSG00000027811","ENSRNOG00000010071"
"1957","ENSMUSG00000034063","ENSRNOG00000022155"
"1978","ENSMUSG00000041068","ENSRNOG00000039624"
"1989","ENSMUSG00000031194","ENSRNOG00000026227"
"1991","ENSMUSG00000013353","ENSRNOG00000032990"
"1992","ENSMUSG00000031938","ENSRNOG00000010887"
"1994","ENSMUSG00000066571","ENSRNOG00000021129"
"1996","ENSMUSG00000073722","ENSRNOG00000039574"
"2000","ENSMUSG00000022179","ENSRNOG00000013317"
"2002","ENSMUSG00000056197","ENSRNOG00000024604"
"2006","ENSMUSG00000014837","ENSRNOG00000015625"
"2008","ENSMUSG00000056617","ENSRNOG00000038867"
"2015","ENSMUSG00000058670","ENSRNOG00000034183"
"2028","ENSMUSG00000037270","ENSRNOG00000038436"
"2029","ENSMUSG00000039851","ENSRNOG00000028670"
"2034","ENSMUSG00000055357","ENSRNOG00000003688"
"2047","ENSMUSG00000045330","ENSRNOG00000026265"
"2048","ENSMUSG00000069971","ENSRNOG00000024182"
"2051","ENSMUSG00000013668","ENSRNOG00000022900"
"2091","ENSMUSG00000079460","ENSRNOG00000042394"
"2099","ENSMUSG00000013158","ENSRNOG00000017867"
"2100","ENSMUSG00000084234","ENSRNOG00000045720"
"2133","ENSMUSG00000071749","ENSRNOG00000004914"
"2148","ENSMUSG00000021415","ENSRNOG00000033763"
"2181","ENSMUSG00000047988","ENSRNOG00000055533"
"2190","ENSMUSG00000058046","ENSRNOG00000024506"
"2224","ENSMUSG00000025288","ENSRNOG00000051726"
"2283","ENSMUSG00000036046","ENSRNOG00000031269"
"2304","ENSMUSG00000040412","ENSRNOG00000020272"
"2337","ENSMUSG00000025058","ENSRNOG00000003748"
"2364","ENSMUSG00000057181","ENSRNOG00000000237"
"2366","ENSMUSG00000029089","ENSRNOG00000004140"
"2377","ENSMUSG00000054672","ENSRNOG00000036647"
"2408","ENSMUSG00000022195","ENSRNOG00000022745"
"2411","ENSMUSG00000025573","ENSRNOG00000045889"
"2414","ENSMUSG00000051361","ENSRNOG00000028189"
"2416","ENSMUSG00000018451","ENSRNOG00000059827"
"2436","ENSMUSG00000031824","ENSRNOG00000017431"
"2440","ENSMUSG00000037977","ENSRNOG00000015718"
"2466","ENSMUSG00000032680","ENSRNOG00000023721"
"2472","ENSMUSG00000074123","ENSRNOG00000061716"
"2476","ENSMUSG00000096607","ENSRNOG00000058358"
"2492","ENSMUSG00000046774","ENSRNOG00000025200"
"2517","ENSMUSG00000054951","ENSRNOG00000048967"
"2539","ENSMUSG00000038768","ENSRNOG00000050163"
"2574","ENSMUSG00000004360","ENSRNOG00000042309"
"2587","ENSMUSG00000056004","ENSRNOG00000005818"
"2597","ENSMUSG00000059939","ENSRNOG00000020199"
"2614","ENSMUSG00000094447","ENSRNOG00000046924"
"2627","ENSMUSG00000023263","ENSRNOG00000059975"
"2628","ENSMUSG00000020177","ENSRNOG00000005790"
"2647","ENSMUSG00000078776","ENSRNOG00000042899"
"2652","ENSMUSG00000036275","ENSRNOG00000006148"
"2653","ENSMUSG00000036411","ENSRNOG00000026979"
"2688","ENSMUSG00000044551","ENSRNOG00000008351"
"2691","ENSMUSG00000046138","ENSRNOG00000026942"
"2695","ENSMUSG00000044730","ENSRNOG00000025065"
"2700","ENSMUSG00000027596","ENSRNOG00000017701"
"2708","ENSMUSG00000079144","ENSRNOG00000005558"
"2718","ENSMUSG00000022347","ENSRNOG00000004692"
"2719","ENSMUSG00000052595","ENSRNOG00000033195"
"2754","ENSMUSG00000047228","ENSRNOG00000007247"
"2784","ENSMUSG00000028794","ENSRNOG00000005935"
"2785","ENSMUSG00000047613","ENSRNOG00000025034"
"2813","ENSMUSG00000047878","ENSRNOG00000009736"
"2814","ENSMUSG00000037953","ENSRNOG00000042649"
"2820","ENSMUSG00000043122","ENSRNOG00000013097"
"2847","ENSMUSG00000052760","ENSRNOG00000017273"
"2922","ENSMUSG00000057715","ENSRNOG00000005375"
"2927","ENSMUSG00000055010","ENSRNOG00000058991"
"2943","ENSMUSG00000075330","ENSRNOG00000038119"
"2955","ENSMUSG00000092210","ENSRNOG00000057981"
"2964","ENSMUSG00000025727","ENSRNOG00000020212"
"2966","ENSMUSG00000032671","ENSRNOG00000010963"
"2996","ENSMUSG00000033213","ENSRNOG00000050251"
"3009","ENSMUSG00000042510","ENSRNOG00000004341"
"3010","ENSMUSG00000036678","ENSRNOG00000013445"
"3011","ENSMUSG00000029482","ENSRNOG00000000967"
"3012","ENSMUSG00000027761","ENSRNOG00000013950"
"3017","ENSMUSG00000090527","ENSRNOG00000048440"
"3018","ENSMUSG00000095522","ENSRNOG00000042471"
"3019","ENSMUSG00000078507","ENSRNOG00000026613"
"3020","ENSMUSG00000070609","ENSRNOG00000037030"
"3021","ENSMUSG00000028593","ENSRNOG00000026782"
"3022","ENSMUSG00000078506","ENSRNOG00000050089"
"3027","ENSMUSG00000057228","ENSRNOG00000011861"
"3028","ENSMUSG00000037257","ENSRNOG00000008424"
"3029","ENSMUSG00000057230","ENSRNOG00000018317"
"3030","ENSMUSG00000035642","ENSRNOG00000012584"
"3031","ENSMUSG00000006299","ENSRNOG00000014399"
"3032","ENSMUSG00000020804","ENSRNOG00000011182"
"3033","ENSMUSG00000027628","ENSRNOG00000020086"
"3034","ENSMUSG00000068522","ENSRNOG00000004708"
"3035","ENSMUSG00000031960","ENSRNOG00000018404"
"3036","ENSMUSG00000023938","ENSRNOG00000025808"
"3038","ENSMUSG00000055923","ENSRNOG00000002137"
"3039","ENSMUSG00000025894","ENSRNOG00000005795"
"3040","ENSMUSG00000029695","ENSRNOG00000039494"
"3041","ENSMUSG00000018697","ENSRNOG00000002778"
"3042","ENSMUSG00000025375","ENSRNOG00000004392"
"3044","ENSMUSG00000057191","ENSRNOG00000033256"
"3045","ENSMUSG00000057880","ENSRNOG00000002636"
"3046","ENSMUSG00000015243","ENSRNOG00000018126"
"3047","ENSMUSG00000050296","ENSRNOG00000015248"
"3048","ENSMUSG00000004668","ENSRNOG00000025645"
"3049","ENSMUSG00000062017","ENSRNOG00000043296"
"3050","ENSMUSG00000054746","ENSRNOG00000027505"
"3051","ENSMUSG00000051900","ENSRNOG00000015783"
"3052","ENSMUSG00000035435","ENSRNOG00000039656"
"3053","ENSMUSG00000026944","ENSRNOG00000014268"
"3054","ENSMUSG00000024130","ENSRNOG00000050057"
"3055","ENSMUSG00000028125","ENSRNOG00000012892"
"3056","ENSMUSG00000018800","ENSRNOG00000004378"
"3057","ENSMUSG00000044749","ENSRNOG00000046890"
"3058","ENSMUSG00000035722","ENSRNOG00000012939"
"3059","ENSMUSG00000041828","ENSRNOG00000004147"
"3060","ENSMUSG00000020620","ENSRNOG00000004040"
"3061","ENSMUSG00000041797","ENSRNOG00000059326"
"3062","ENSMUSG00000031974","ENSRNOG00000017993"
"3063","ENSMUSG00000027048","ENSRNOG00000050860"
"3066","ENSMUSG00000042476","ENSRNOG00000008012"
"3067","ENSMUSG00000072791","ENSRNOG00000006398"
"3068","ENSMUSG00000026198","ENSRNOG00000018697"
"3069","ENSMUSG00000031333","ENSRNOG00000002790"
"3070","ENSMUSG00000028973","ENSRNOG00000008557"
"3071","ENSMUSG00000029408","ENSRNOG00000001082"
"3072","ENSMUSG00000023088","ENSRNOG00000022305"
"3073","ENSMUSG00000032842","ENSRNOG00000018863"
"3074","ENSMUSG00000036872","ENSRNOG00000015666"
"3075","ENSMUSG00000025194","ENSRNOG00000046727"
"3076","ENSMUSG00000020865","ENSRNOG00000002948"
"3077","ENSMUSG00000032849","ENSRNOG00000010064"
"3078","ENSMUSG00000022822","ENSRNOG00000029178"
"3079","ENSMUSG00000030834","ENSRNOG00000028781"
"3080","ENSMUSG00000040136","ENSRNOG00000021130"
"3081","ENSMUSG00000030249","ENSRNOG00000036960"
"3082","ENSMUSG00000031378","ENSRNOG00000056524"
"3083","ENSMUSG00000055782","ENSRNOG00000015538"
"3084","ENSMUSG00000028127","ENSRNOG00000011929"
"3085","ENSMUSG00000021240","ENSRNOG00000011964"
"3086","ENSMUSG00000058355","ENSRNOG00000018345"
"3087","ENSMUSG00000038762","ENSRNOG00000000799"
"3088","ENSMUSG00000028953","ENSRNOG00000010609"
"3089","ENSMUSG00000003234","ENSRNOG00000001710"
"3090","ENSMUSG00000024030","ENSRNOG00000001158"
"3091","ENSMUSG00000029802","ENSRNOG00000007041"
"3094","ENSMUSG00000032131","ENSRNOG00000008862"
"3095","ENSMUSG00000040505","ENSRNOG00000005250"
"3096","ENSMUSG00000024254","ENSRNOG00000005420"
"3097","ENSMUSG00000006638","ENSRNOG00000025689"
"3100","ENSMUSG00000040532","ENSRNOG00000018910"
"3102","ENSMUSG00000032046","ENSRNOG00000036934"
"3103","ENSMUSG00000090121","ENSRNOG00000026855"
"3104","ENSMUSG00000040396","ENSRNOG00000014598"
"3105","ENSMUSG00000042210","ENSRNOG00000011936"
"3106","ENSMUSG00000042073","ENSRNOG00000012073"
"3107","ENSMUSG00000000686","ENSRNOG00000015002"
"3108","ENSMUSG00000007036","ENSRNOG00000056637"
"3109","ENSMUSG00000055882","ENSRNOG00000015067"
"3110","ENSMUSG00000003346","ENSRNOG00000018212"
"3111","ENSMUSG00000047368","ENSRNOG00000012514"
"3112","ENSMUSG00000038459","ENSRNOG00000012683"
"3114","ENSMUSG00000037818","ENSRNOG00000013692"
"3115","ENSMUSG00000039202","ENSRNOG00000017120"
"3116","ENSMUSG00000002475","ENSRNOG00000029370"
"3117","ENSMUSG00000040997","ENSRNOG00000009244"
"3118","ENSMUSG00000032540","ENSRNOG00000000221"
"3119","ENSMUSG00000025277","ENSRNOG00000008167"
"3120","ENSMUSG00000007950","ENSRNOG00000000054"
"3121","ENSMUSG00000058835","ENSRNOG00000031325"
"3122","ENSMUSG00000026782","ENSRNOG00000017707"
"3123","ENSMUSG00000018381","ENSRNOG00000005575"
"3124","ENSMUSG00000035258","ENSRNOG00000001627"
"3125","ENSMUSG00000038827","ENSRNOG00000010532"
"3128","ENSMUSG00000026596","ENSRNOG00000004305"
"3129","ENSMUSG00000025085","ENSRNOG00000046333"
"3130","ENSMUSG00000029095","ENSRNOG00000007882"
"3131","ENSMUSG00000032735","ENSRNOG00000019365"
"3136","ENSMUSG00000017631","ENSRNOG00000056837"
"3137","ENSMUSG00000042895","ENSRNOG00000007999"
"3138","ENSMUSG00000078453","ENSRNOG00000051450"
"3139","ENSMUSG00000035234","ENSRNOG00000002165"
"3140","ENSMUSG00000030965","ENSRNOG00000017222"
"3141","ENSMUSG00000036376","ENSRNOG00000017585"
"3142","ENSMUSG00000030083","ENSRNOG00000015762"
"3143","ENSMUSG00000032724","ENSRNOG00000008510"
"3425","ENSMUSG00000036880","ENSRNOG00000013766"
"3426","ENSMUSG00000020532","ENSRNOG00000034013"
"3427","ENSMUSG00000042010","ENSRNOG00000000658"
"3429","ENSMUSG00000090150","ENSRNOG00000010940"
"3431","ENSMUSG00000031969","ENSRNOG00000048164"
"3432","ENSMUSG00000027710","ENSRNOG00000014178"
"3433","ENSMUSG00000026003","ENSRNOG00000012966"
"3434","ENSMUSG00000062908","ENSRNOG00000009845"
"3435","ENSMUSG00000029545","ENSRNOG00000001177"
"3436","ENSMUSG00000030861","ENSRNOG00000052425"
"3437","ENSMUSG00000018574","ENSRNOG00000018114"
"3438","ENSMUSG00000030607","ENSRNOG00000028992"
"3439","ENSMUSG00000001588","ENSRNOG00000015674"
"3440","ENSMUSG00000049076","ENSRNOG00000001730"
"3441","ENSMUSG00000029033","ENSRNOG00000022307"
"3442","ENSMUSG00000032047","ENSRNOG00000007862"
"3447","ENSMUSG00000026499","ENSRNOG00000003185"
"3448","ENSMUSG00000056938","ENSRNOG00000003108"
"3451","ENSMUSG00000033701","ENSRNOG00000003550"
"3452","ENSMUSG00000026644","ENSRNOG00000016480"
"3453","ENSMUSG00000040272","ENSRNOG00000009199"
"3454","ENSMUSG00000075023","ENSRNOG00000042533"
"3455","ENSMUSG00000038000","ENSRNOG00000038973"
"3456","ENSMUSG00000020681","ENSRNOG00000062101"
"3457","ENSMUSG00000015405","ENSRNOG00000031665"
"3458","ENSMUSG00000101605","ENSRNOG00000007467"
"3459","ENSMUSG00000045019","ENSRNOG00000047368"
"3460","ENSMUSG00000038007","ENSRNOG00000007637"
"3461","ENSMUSG00000030760","ENSRNOG00000036866"
"3462","ENSMUSG00000023328","ENSRNOG00000050841"
"3463","ENSMUSG00000022185","ENSRNOG00000013533"
"3465","ENSMUSG00000044534","ENSRNOG00000019472"
"3466","ENSMUSG00000044337","ENSRNOG00000019622"
"3467","ENSMUSG00000079355","ENSRNOG00000011478"
"3468","ENSMUSG00000020917","ENSRNOG00000016924"
"3469","ENSMUSG00000026348","ENSRNOG00000003884"
"3474","ENSMUSG00000028405","ENSRNOG00000005849"
"3475","ENSMUSG00000022477","ENSRNOG00000024128"
"3476","ENSMUSG00000022126","ENSRNOG00000009919"
"3480","ENSMUSG00000034853","ENSRNOG00000007837"
"3481","ENSMUSG00000021620","ENSRNOG00000061414"
"3482","ENSMUSG00000006717","ENSRNOG00000018415"
"3486","ENSMUSG00000052392","ENSRNOG00000046864"
"3487","ENSMUSG00000042540","ENSRNOG00000032508"
"3488","ENSMUSG00000043487","ENSRNOG00000029637"
"3489","ENSMUSG00000028937","ENSRNOG00000010580"
"3490","ENSMUSG00000017307","ENSRNOG00000015187"
"3492","ENSMUSG00000020777","ENSRNOG00000008755"
"3493","ENSMUSG00000021751","ENSRNOG00000007378"
"3494","ENSMUSG00000029098","ENSRNOG00000008474"
"3495","ENSMUSG00000027380","ENSRNOG00000016179"
"3497","ENSMUSG00000002103","ENSRNOG00000013594"
"3498","ENSMUSG00000012777","ENSRNOG00000021659"
"3499","ENSMUSG00000001348","ENSRNOG00000046261"
"3500","ENSMUSG00000028093","ENSRNOG00000017494"
"3501","ENSMUSG00000037469","ENSRNOG00000047901"
"3502","ENSMUSG00000032561","ENSRNOG00000011820"
"3503","ENSMUSG00000022622","ENSRNOG00000029762"
"3504","ENSMUSG00000072770","ENSRNOG00000017399"
"3505","ENSMUSG00000032110","ENSRNOG00000008508"
"3506","ENSMUSG00000032281","ENSRNOG00000011381"
"3507","ENSMUSG00000024207","ENSRNOG00000045947"
"3508","ENSMUSG00000024209","ENSRNOG00000047549"
"3509","ENSMUSG00000076435","ENSRNOG00000003330"
"3510","ENSMUSG00000015016","ENSRNOG00000015077"
"3511","ENSMUSG00000018796","ENSRNOG00000010633"
"3512","ENSMUSG00000032883","ENSRNOG00000014718"
"3513","ENSMUSG00000031278","ENSRNOG00000019180"
"3514","ENSMUSG00000024981","ENSRNOG00000016265"
"3515","ENSMUSG00000020333","ENSRNOG00000026745"
"3516","ENSMUSG00000033533","ENSRNOG00000042084"
"3518","ENSMUSG00000030935","ENSRNOG00000032246"
"3519","ENSMUSG00000047026","ENSRNOG00000014726"
"3520","ENSMUSG00000030972","ENSRNOG00000031211"
"3521","ENSMUSG00000027452","ENSRNOG00000007102"
"3522","ENSMUSG00000027605","ENSRNOG00000018755"
"3524","ENSMUSG00000035948","ENSRNOG00000004448"
"3525","ENSMUSG00000031972","ENSRNOG00000017786"
"3526","ENSMUSG00000035783","ENSRNOG00000058039"
"3527","ENSMUSG00000029580","ENSRNOG00000034254"
"3529","ENSMUSG00000055194","ENSRNOG00000043292"
"3530","ENSMUSG00000068614","ENSRNOG00000008536"
"3531","ENSMUSG00000031085","ENSRNOG00000059303"
"3535","ENSMUSG00000059430","ENSRNOG00000029401"
"3536","ENSMUSG00000078129","ENSRNOG00000036864"
"3537","ENSMUSG00000066368","ENSRNOG00000032642"
"3538","ENSMUSG00000027671","ENSRNOG00000011553"
"3539","ENSMUSG00000029712","ENSRNOG00000001408"
"3540","ENSMUSG00000070979","ENSRNOG00000016641"
"3541","ENSMUSG00000070980","ENSRNOG00000016621"
"3542","ENSMUSG00000092519","ENSRNOG00000049571"
"3543","ENSMUSG00000015143","ENSRNOG00000056756"
"3544","ENSMUSG00000052374","ENSRNOG00000017833"
"3545","ENSMUSG00000006457","ENSRNOG00000019745"
"3546","ENSMUSG00000054808","ENSRNOG00000020433"
"3547","ENSMUSG00000021076","ENSRNOG00000007504"
"3548","ENSMUSG00000025228","ENSRNOG00000019725"
"3549","ENSMUSG00000037351","ENSRNOG00000016789"
"3550","ENSMUSG00000020152","ENSRNOG00000004959"
